time,voltage,current,temperature
1.2000000000000002,4.094339954436981,1.80323923263216,35.04605
3.2,4.089422506757287,1.80323923263216,35.04605
5.2,4.08563986030334,1.80323923263216,35.04605
7.2,4.082802869912136,1.80323923263216,35.04605
9.200000000000001,4.08015501834663,1.80323923263216,35.04605
11.200000000000001,4.07750716360891,1.80323923263216,35.04605
13.200000000000001,4.0756158356278895,1.80323923263216,35.04605
15.200000000000001,4.073535381499291,1.80323923263216,35.04605
17.2,4.071833189160405,1.80323923263216,35.04933
19.200000000000003,4.06956359939575,1.80323923263216,35.05262
21.200000000000003,4.06823967202688,1.80323923263216,35.05591
23.200000000000003,4.06691574465802,1.80323923263216,35.0592
25.200000000000003,4.06502441984537,1.80323923263216,35.0592
27.200000000000003,4.06370049247651,1.80323923263216,35.0625
29.200000000000003,4.062565697588162,1.80323923263216,35.06578
31.200000000000003,4.0608635068417005,1.80323923263216,35.07236
33.2,4.059539579476667,1.80323923263216,35.07565
35.2,4.058404781416122,1.80323923263216,35.07893
37.2,4.057459120590161,1.80323923263216,35.08223
39.2,4.056135193225075,1.80323923263216,35.08552
41.2,4.055189530816489,1.80323923263216,35.08552
43.2,4.054054734345457,1.80323923263216,35.0888
45.2,4.052541674491571,1.80323923263216,35.0921
47.2,4.051785135066836,1.80323923263216,35.09538
49.2,4.050461221958542,1.80323923263216,35.09538
51.2,4.049704679354905,1.80323923263216,35.09538
53.2,4.048759026455057,1.80323923263216,35.09538
55.2,4.04781336405018,1.80323923263216,35.09868
57.2,4.046867703229559,1.80323923263216,35.102500023056315
59.2,4.046300297861902,1.80323923263216,35.10855
61.2,4.045165507726007,1.80323923263216,35.11183
63.2,4.0444089793874,1.80323923263216,35.115119972456704
65.2,4.04346331698107,1.80323923263216,35.11841
67.2,4.042895917953129,1.80323923263216,35.11841
69.2,4.04195025712942,1.80323923263216,35.12170000002651
71.2,4.041004596305699,1.80323923263216,35.12828
73.2,4.04024806638408,1.80323923263216,35.13157
75.2,4.039680634072805,1.80323923263216,35.13815
77.2,4.038924137427629,1.80323923263216,35.13815
79.2,4.03835673998689,1.80323923263216,35.14143
81.2,4.037221946682023,1.80323923263216,35.14473
83.2,4.03646541517423,1.80323923263216,35.14802
85.2,4.035898055764953,1.80323923263216,35.1546
87.2,4.035141492559497,1.80323923263216,35.1546
89.2,4.034763222845747,1.80323923263216,35.15788
91.2,4.03419582539904,1.80323923263216,35.16446
93.2,4.03362842795525,1.80323923263216,35.16775
95.2,4.03306103051145,1.80323923263216,35.17105
97.2,4.03230450058639,1.80323923263216,35.17105
99.2,4.03192623562385,1.80323923263216,35.17105
101.2,4.03116970569879,1.80323923263216,35.17433
103.2,4.03079144073626,1.80323923263216,35.17433
105.2,4.030224038538413,1.80323923263216,35.17762
107.2,4.02965664584867,1.80323923263216,35.1842
109.2,4.02871098344234,1.80323923263216,35.1875
111.2,4.0285218477890234,1.80323923263216,35.19407
113.2,4.02757618855758,1.80323923263216,35.19736
115.2,4.027008845000966,1.80323923263216,35.20392960964229
117.2,4.026441396837048,1.80323923263216,35.20723
119.2,4.02625226118588,1.80323923263216,35.21052
121.2,4.025684866912679,1.80323923263216,35.21052
123.2,4.02549573126082,1.80323923263216,35.2138
125.2,4.024550075198658,1.80323923263216,35.2171
127.2,4.024360566193164,1.80323923263216,35.22368
129.20000000000002,4.02398267141069,1.80323923263216,35.22696
131.20000000000002,4.02322614148563,1.80323923263216,35.2330000000089
133.20000000000002,4.022847876523144,1.80323923263216,35.23683
135.20000000000002,4.02265874404183,1.80323923263216,35.24012
137.20000000000002,4.021902242641262,1.80323923263216,35.24341
139.20000000000002,4.021902214114546,1.80323923263216,35.2467
141.20000000000002,4.021523947566193,1.80323923263216,35.25
143.20000000000002,4.02095655171044,1.80323923263216,35.25328
145.20000000000002,4.020200031294715,1.80323923263216,35.253280082708464
147.20000000000002,4.020200020199631,1.80323923263216,35.25657
149.20000000000002,4.019443493442936,1.80323923263216,35.25657
151.20000000000002,4.01925435937905,1.80323923263216,35.25986
153.20000000000002,4.01887609441652,1.80323923263216,35.26315
155.20000000000002,4.018497837379989,1.80323923263216,35.26315006872778
157.20000000000002,4.01793043201019,1.80323923263216,35.26973
159.20000000000002,4.01774129636136,1.80323923263216,35.2763
161.20000000000002,4.01755216704766,1.80323923263216,35.2796
163.20000000000002,4.017173898907812,1.80323923263216,35.28618
165.20000000000002,4.016606512565865,1.80323923263216,35.28946
167.20000000000002,4.0162282396788,1.80323923263216,35.29275
169.20000000000002,4.01584997471626,1.80323923263216,35.29605
171.20000000000002,4.01547170817032,1.80323923263216,35.30262
173.20000000000002,4.015093438444078,1.80323923263216,35.30262
175.20000000000002,4.0147151861720705,1.80323923263216,35.30591
177.20000000000002,4.01452604734588,1.80323923263216,35.3092
179.20000000000002,4.013958653075049,1.80323923263216,35.3125
181.20000000000002,4.01376951742005,1.80323923263216,35.31578
183.20000000000002,4.013391250874101,1.80323923263216,35.31578
185.20000000000002,4.013202112050395,1.80323923263216,35.31578
187.20000000000002,4.01301298749728,1.80323923263216,35.31907
189.20000000000002,4.012445588470097,1.80323923263216,35.32236
191.20000000000002,4.011878194195282,1.80323923263216,35.32236
193.20000000000002,4.011310796750058,1.80323923263216,35.32893
195.20000000000002,4.01149991972037,1.80323923263216,35.33552
197.20000000000002,4.011121662683167,1.80323923263216,35.33552
199.20000000000002,4.010554268409177,1.80323923263216,35.3388
201.20000000000002,4.010365134345255,1.80323923263216,35.3388
203.20000000000002,4.0103651295943346,1.80323923263216,35.34538
