Time[s],voltage,current,temperature
1970-01-07 19:44:31,4.15013312779445,0.752118868619978,19.7336353845451
1970-01-07 19:44:33,4.14672967450271,0.752118868619978,19.7319021083934
1970-01-07 19:44:35,4.1440825441647,0.752118868619978,19.7301701042886
1970-01-07 19:44:37,4.14162449456511,0.752118868619978,19.7284390540755
1970-01-07 19:44:39,4.14011184865767,0.752118868619978,19.7267087566967
1970-01-07 19:44:41,4.13803196053494,0.752118868619978,19.7249793289374
1970-01-07 19:44:43,4.13651931462751,0.752118868619978,19.723250493346
1970-01-07 19:44:45,4.13557391093536,0.752118868619978,19.7215222688862
1970-01-07 19:44:47,4.13425034576635,0.752118868619978,19.7197946206107
1970-01-07 19:44:49,4.13254861912048,0.752118868619978,19.7180675146062
1970-01-07 19:44:51,4.13160321542833,0.752118868619978,19.7164122336931
1970-01-07 19:44:53,4.13065781173618,0.752118868619978,19.7146860039601
1970-01-07 19:44:55,4.12933424656718,0.752118868619978,19.7129604131112
1970-01-07 19:44:57,4.1281997621366,0.752118868619978,19.7112352254676
1970-01-07 19:44:59,4.12706527770602,0.752118868619978,19.7095104745895
1970-01-07 19:45:01,4.12611987401387,0.752118868619978,19.7077861242137
1970-01-07 19:45:03,4.12536355106015,0.752118868619978,19.7060621836399
1970-01-07 19:45:05,4.124418147368,0.752118868619978,19.7043386615481
1970-01-07 19:45:07,4.12366182441428,0.752118868619978,19.7026155468515
1970-01-07 19:45:09,4.12252733998371,0.752118868619978,19.7008927754444
1970-01-07 19:45:11,4.05578183931801,2.00054873484674,19.6983090795922
1970-01-07 19:45:13,4.04935309421139,2.00054873484674,19.693805454426
1970-01-07 19:45:15,4.04462607575065,2.00054873484674,19.6893076404426
1970-01-07 19:45:17,4.04141170319735,2.00054873484674,19.684814232197
1970-01-07 19:45:19,4.03800824990561,2.00054873484674,19.6803244976286
1970-01-07 19:45:21,4.03498295809073,2.00054873484674,19.6758380490462
1970-01-07 19:45:23,4.03271398922958,2.00054873484674,19.6713546113472
1970-01-07 19:45:25,4.03044502036842,2.00054873484674,19.6668739511344
1970-01-07 19:45:27,4.0277978900304,2.00054873484674,19.6623957970401
1970-01-07 19:45:29,4.02609616338454,2.00054873484674,19.6579201675505
1970-01-07 19:45:31,4.02420535600024,2.00054873484674,19.6534467265405
1970-01-07 19:45:33,4.02193638713908,2.00054873484674,19.6489754688736
1970-01-07 19:45:35,4.02023466049321,2.00054873484674,19.6445062389163
1970-01-07 19:45:37,4.01853293384735,2.00054873484674,19.6400388132796
1970-01-07 19:45:39,4.01683120720148,2.00054873484674,19.6355737122393
1970-01-07 19:45:41,4.01531856129404,2.00054873484674,19.6311102943667
1970-01-07 19:45:43,4.03989905728991,1.49986495312007,19.6274066914642
1970-01-07 19:45:45,4.0404662995052,1.50205134518001,19.6240366975618
1970-01-07 19:45:47,4.03970997655148,1.50205134518001,19.620665334909
1970-01-07 19:45:49,4.03933181507462,1.50205134518001,19.6172943908457
1970-01-07 19:45:51,4.03876457285933,1.50205134518001,19.6139238709436
1970-01-07 19:45:53,4.03800824990561,1.50205134518001,19.6105538924794
1970-01-07 19:45:55,4.03725192695189,1.50205134518001,19.6071844974508
1970-01-07 19:45:57,4.03649560399817,1.50205134518001,19.6038157312912
1970-01-07 19:45:59,4.03592836178288,1.50205134518001,19.6004476025138
1970-01-07 19:46:01,4.03517203882916,1.50205134518001,19.597080059666
1970-01-07 19:46:03,4.03441571587545,1.50205134518001,19.5937131423909
1970-01-07 19:46:05,4.00718808954156,2.00054873484674,19.589334310975
1970-01-07 19:46:07,4.00454095920355,2.00054873484674,19.5848820724278
1970-01-07 19:46:09,4.00283923255768,2.00054873484674,19.5804321390995
1970-01-07 19:46:11,4.0017047481271,2.00054873484674,19.5759838724466
1970-01-07 19:46:13,4.00038118295809,2.00054873484674,19.5715373735075
1970-01-07 19:46:15,3.99867945631222,2.00054873484674,19.567092303187
1970-01-07 19:46:17,3.99754497188164,2.00054873484674,19.5626486319433
1970-01-07 19:46:19,3.99641048745107,2.00054873484674,19.5582062568459
1970-01-07 19:46:21,3.99508692228206,2.00054873484674,19.5537653241281
1970-01-07 19:46:23,3.99433059932834,2.00054873484674,19.5493255298843
1970-01-07 19:46:25,3.99300703415933,2.00054873484674,19.5448869110267
1970-01-07 19:46:27,3.99187254972875,2.00054873484674,19.5404495046723
1970-01-07 19:46:29,3.99111622677503,2.00054873484674,19.5360131643126
1970-01-07 19:46:31,3.99035990382131,2.00054873484674,19.5317330943177
1970-01-07 19:46:33,3.98941450012917,2.00054873484674,19.5272988983446
1970-01-07 19:46:35,3.98828001569859,2.00054873484674,19.5228655931456
1970-01-07 19:46:37,3.98752369274487,2.00054873484674,19.5184333346335
1970-01-07 19:46:39,3.98638920831429,2.00054873484674,19.5140020585508
1970-01-07 19:46:41,3.985821966099,2.00054873484674,19.5095717970852
1970-01-07 19:46:43,3.98487656240685,2.00054873484674,19.5051424460776
1970-01-07 19:46:45,3.98430932019156,2.00054873484674,19.5006918260991
1970-01-07 19:46:47,3.98336391649941,2.00054873484674,19.4962642143391
1970-01-07 19:46:49,3.98241851280727,2.00054873484674,19.4918375413067
1970-01-07 19:46:51,3.98166218985355,2.00054873484674,19.4874116924559
1970-01-07 19:46:53,3.98090586689983,2.00054873484674,19.4829866649395
1970-01-07 19:46:55,3.98052770542297,2.00054873484674,19.4785623795586
1970-01-07 19:46:57,3.97958230173082,2.00054873484674,19.4741388959609
1970-01-07 19:46:59,3.97901505951553,2.00054873484674,19.46971623405
